Initial Plan,Initial Cost,Final Plan,Final Cost,Delay Hour,Ground Delay Cost,K,belta
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",9554.722560917155,"[6, 12, 36, 37, 36, 36, 36, 35, 37, 35, 35, 37, 36, 35, 37, 32, 36, 41, 23, 20, 0, 0, 0]",6850.759577099134,285,712.5,1,0.041666666666666664
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",9554.722560917155,"[6, 12, 36, 39, 34, 43, 38, 29, 34, 34, 34, 35, 33, 35, 33, 32, 33, 32, 30, 36, 0, 0, 0]",6139.786144876638,360,599.9999999999997,1,0.027777777777777776
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",9554.722560917155,"[6, 12, 36, 39, 35, 43, 42, 25, 35, 34, 34, 34, 34, 34, 33, 34, 33, 34, 38, 23, 0, 0, 0]",6537.1728302440815,317,396.25,1,0.020833333333333332
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",9554.722560917155,"[6, 12, 36, 39, 35, 43, 42, 35, 31, 35, 29, 32, 32, 32, 32, 31, 32, 32, 31, 41, 0, 0, 0]",6448.839428212131,349,349.0,1,0.016666666666666666
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7959.951920316976,"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 34, 29, 31, 31, 31, 31, 32, 31, 30, 37, 0, 0, 0]",5490.896945070839,274,685.0,5,0.041666666666666664
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7959.951920316976,"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 30, 21, 28, 29, 30, 30, 35, 0, 0, 0]",6281.681453968696,194,323.3333333333335,5,0.027777777777777776
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7959.951920316976,"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 28, 35, 14, 26, 29, 34, 0, 0, 0]",6628.197709524764,143,178.75,5,0.020833333333333332
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7959.951920316976,"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 7, 10, 33, 0, 0, 0]",7654.831439640656,58,58.0,5,0.016666666666666666
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7694.1177466666,"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 12, 5, 0, 0, 0]",7675.659616401982,4,10.0,9,0.041666666666666664
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7694.1177466666,"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 12, 5, 0, 0, 0]",7675.659616401982,4,6.666666666666666,9,0.027777777777777776
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7694.1177466666,"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 13, 4, 0, 0, 0]",7679.591768943696,3,3.75,9,0.020833333333333332
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7694.1177466666,"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 13, 4, 0, 0, 0]",7679.591768943696,3,3.0,9,0.016666666666666666
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7585.3524166574625,"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7585.3524166574625,0,0,13,0.041666666666666664
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7585.3524166574625,"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 6, 11, 0, 0, 0]",7552.444807449021,10,16.666666666666664,13,0.027777777777777776
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7585.3524166574625,"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 12, 5, 0, 0, 0]",7567.386338098057,4,5.0,13,0.020833333333333332
"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 16, 1, 0, 0, 0]",7585.3524166574625,"[6, 12, 36, 39, 35, 43, 42, 35, 36, 37, 39, 38, 37, 37, 38, 40, 38, 33, 13, 4, 0, 0, 0]",7571.20930478356,3,3.0,13,0.016666666666666666
