arrive,leave
445,-870
445,-755
450,-180
455,-845
455,-855
455,-1870
500,-805
505,-1795
515,-885
525,-195
525,-585
530,-100
535,-870
545,-90
555,-245
555,-155
555,-855
555,-260
615,-1800
615,-285
615,-195
620,-90
620,-700
620,-280
620,-685
620,-130
620,-500
625,-75
625,-175
625,-30
625,-615
625,-505
630,-20
630,-70
630,-25
630,-185
630,-110
630,-5
635,-185
635,-300
635,-70
635,-675
640,-70
640,-85
645,-165
650,-785
650,-55
650,-90
650,-5
655,-55
655,-245
655,-355
655,-150
655,240
700,-455
700,58
700,-255
700,0
710,-95
710,-410
710,-90
710,195
715,-515
715,185
715,575
720,65
720,215
720,-690
720,-480
725,-175
725,590
730,90
730,110
730,-210
730,-395
730,625
735,-65
735,-100
740,610
740,620
745,25
745,600
745,620
745,600
750,20
750,640
750,605
750,610
755,-45
755,100
755,630
755,600
755,635
800,650
800,650
800,660
805,595
805,650
805,680
810,155
810,665
810,605
810,685
810,605
815,670
815,615
815,580
820,600
820,670
825,21
825,620
825,595
830,130
830,195
830,620
835,130
835,180
835,710
840,100
840,710
840,635
840,695
845,195
845,220
845,645
850,640
855,250
855,720
900,95
900,200
900,775
900,770
900,745
905,-805
905,770
905,795
905,665
905,690
910,210
910,-105
910,500
910,685
910,585
915,270
915,70
915,795
915,700
915,780
920,5
920,220
920,665
920,685
920,665
920,705
930,220
930,690
930,500
935,285
935,-485
935,690
935,635
935,705
940,220
940,35
940,-90
945,215
945,800
950,720
950,815
950,720
955,540
1000,195
1000,245
1000,870
1000,755
1000,875
1005,300
1005,95
1005,600
1005,880
1010,175
1010,305
1010,880
1010,755
1010,805
1015,305
1015,275
1015,305
1015,905
1015,885
1020,185
1020,900
1020,890
1025,695
1025,815
1030,325
1030,805
1030,900
1030,900
1035,10
1035,500
1035,805
1035,895
1040,340
1040,-1410
1045,410
1045,920
1045,920
1045,535
1050,740
1055,225
1055,400
1055,35
1100,260
1100,975
1100,955
1100,965
1105,305
1105,455
1105,50
1105,995
1110,306
1110,960
1115,215
1115,195
1115,965
1120,200
1120,1000
1120,700
1120,990
1125,975
1125,870
1130,130
1130,995
1130,880
1135,230
1135,935
1135,910
1135,980
1140,385
1140,610
1140,925
1145,1000
1145,1015
1150,225
1150,495
1150,1000
1155,940
1200,495
1200,170
1200,1080
1200,1065
1200,1080
1205,460
1205,405
1205,1080
1205,1000
1210,100
1210,1055
1210,1060
1210,1090
1210,655
1215,195
1215,1090
1215,1065
1215,1070
1215,795
1220,1080
1220,910
1225,475
1225,1115
1230,1015
1230,1020
1230,1005
1230,1020
1235,190
1235,705
1235,710
1240,130
1240,440
1240,985
1245,1100
1250,1005
1250,1035
1300,400
1300,1090
1300,1090
1300,1145
1305,650
1305,1100
1305,1180
1305,1100
1310,265
1310,300
1310,570
1310,1110
1315,200
1315,1165
1315,1085
1315,1090
1320,1185
1320,1190
1325,200
1325,85
1330,505
1330,295
1330,1200
1330,1080
1335,385
1335,1085
1335,1225
1340,1190
1340,1085
1340,1135
1345,645
1345,1220
1350,325
1350,540
1350,1145
1350,1225
1355,400
1400,1185
1400,1190
1405,375
1405,1260
1405,1060
1405,1270
1410,605
1410,1210
1410,1260
1410,985
1415,185
1415,170
1415,1175
1415,1170
1420,380
1420,1190
1420,1270
1425,1305
1425,1215
1425,1305
1425,1290
1430,515
1430,1305
1430,1185
1430,1295
1435,395
1435,1025
1435,1315
1435,1210
1440,805
1440,485
1445,740
1445,920
1445,1300
1455,435
1455,505
1455,1145
1455,1250
1455,1225
1500,185
1500,1365
1505,685
1510,500
1510,270
1510,1375
1510,1210
1510,1200
1515,500
1515,1280
1515,1390
1515,1395
1520,110
1520,575
1525,505
1525,100
1525,280
1525,1285
1530,630
1530,1280
1530,1400
1530,1125
1535,410
1540,725
1540,1325
1540,1315
1540,1205
1545,1340
1545,1400
1545,1335
1545,1195
1550,1230
1550,1340
1550,1305
1555,420
1555,530
1555,255
1555,1340
1600,1350
1600,1395
1605,1485
1605,1190
1605,890
1610,810
1610,1460
1610,1505
1610,1460
1615,375
1615,1195
1615,1410
1615,1310
1615,1465
1620,1390
1620,1480
1625,1505
1625,1510
1625,1405
1630,390
1630,400
1630,1410
1630,1225
1635,1505
1640,600
1640,1415
1640,1435
1640,1495
1645,1500
1645,1515
1645,1525
1650,1530
1650,1535
1655,1000
1655,1445
1655,1450
1655,1410
1700,1460
1700,1580
1705,1580
1705,1595
1705,1495
1710,1400
1715,1490
1715,580
1720,405
1720,1575
1720,1470
1720,1600
1720,1565
1725,1585
1725,1525
1725,1385
1730,500
1730,1000
1730,1480
1735,425
1735,1410
1735,1625
1735,1535
1735,1595
1740,795
1740,1535
1745,945
1745,1505
1745,1415
1745,1600
1750,630
1750,1345
1750,1630
1750,1600
1755,830
1755,1605
1755,1635
1800,570
1800,1000
1800,1645
1800,1495
1805,1575
1810,1585
1810,1710
1815,1590
1815,1500
1820,1070
1820,1705
1820,1710
1820,1595
1825,1010
1825,1680
1825,1715
1830,210
1830,1605
1830,1600
1835,1630
1835,1695
1835,1525
1840,1695
1840,1695
1840,1615
1840,1620
1840,1640
1845,1710
1845,1440
1845,1700
1850,1550
1850,1730
1850,1725
1855,915
1855,1730
1855,1230
1855,1605
1855,1610
1900,490
1900,1795
1900,1770
1905,1770
1905,1780
1905,1690
1905,1705
